disease,desc
crushing injury,"Also known as Crush Injury Pressure Injuryand Compression Injury  ,A crush injury is injury by an object that causes compression of the body. This form of injury is common following a natural disaster or after some form of trauma from a deliberate attack. Common concerns after an injury of this type are rhabdomyolysis and crush syndrome. , Source: Wikipedia"
normal pressure hydrocephalus,"Also known as NPH and Hakim Syndrome  ,Normal pressure hydrocephalus (NPH) also termed symptomatic hydrocephalus occurs when there is an increase in intracranial pressure (ICP) due to an abnormal accumulation of cerebrospinal fluid (CSF) in the ventricles of the brain which can cause ventriculomegaly. The ICP gradually falls but still maintains a slightly elevated level and the CSF pressure reaches a high normal level of 150 to 200 mmH2O. Measurements of ICP therefore are not usually elevated. Because of this equilibration patients do not exhibit the classic signs that accompany increased intracranial pressure such as headache nausea vomiting or altered consciousness although some studies have shown pressure elevations to occur intermittently. However the enlarged ventricles put increased pressure on the adjacent cortical tissue and cause myriad effects in the patient. The classic symptom triad (gait disturbance urinary incontinence and dementia or mental decline) was first described by Hakim and Adams in 1965. NPH is often misdiagnosed as Parkinson's disease Alzheimer's disease or dementia due to its chronic nature and nonspecific presenting symptoms . Although the exact mechanism is unknownnormal-pressure hydrocephalus is thought to be a form of communicating hydrocephalus with impaired CSF reabsorption at the arachnoid granulations. , Source: Wikipedia"
alopecia,"Also known as Loss Of Hair and Baldness  ,Alopecia (/ˌæləˈpiːʃə/ from Classical Greek ἀλώπηξ alōpēxmeaning fox) means loss of hair from the head or body. Alopecia can mean baldness a term generally reserved for pattern alopecia or androgenic alopecia. Compulsive pulling of hair (trichotillomania) can also induce hair loss. Hairstyling routines such as tight ponytails or braids may cause traction alopecia. Both hair relaxer solutions and hot hair irons can also induce hair loss. In some cases alopecia is due to underlying medical conditionssuch as iron deficiency. , Source: Wikipedia"
hashimoto thyroiditis,"Also known as Autoimmune Thyroiditis  ,Hashimoto's thyroiditis or chronic lymphocytic thyroiditis is an autoimmune disease in which the thyroid gland is attacked by a variety of cell- and antibody-mediated immune processes. It was the first disease to be recognized as an autoimmune disease. It was first described by the Japanese specialist Hakaru Hashimoto in Germany in 1912. ,Source: Wikipedia"
flat feet," Also known as Pes Planus Fallen Arch and Pes Planovalgus  ,Flat feet (also called pes planus or fallen arches) is a formal reference to a medical condition in which the arch of the foot collapses with the entire sole of the foot coming into complete or near-complete contact with the ground. In some individuals (an estimated 20–30% of the general population) the arch simply never develops in one foot (unilaterally) or both feet (bilaterally). , Source: Wikipedia"
nonalcoholic liver disease (nash),Also known as Nonalcoholic Fatty Liver   Nonalcoholic liver disease (NASH) is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.
hemarthrosis,"Also known as Joint Bleeding  ,Hemarthrosis (or haemarthrosis plural h(a)emarthroses) is a bleeding into joint spaces. , Source: Wikipedia"
pelvic organ prolapse,"Prolapse literally means to fall out of place‚ from the Latin prolabi meaning to fall out. In medicine prolapse is a condition where organs such as the uterusfall down or slip out of place. It is used for organs protruding through the vagina or the rectum or for the misalignment of the valves of the heart. A spinal disc herniation is also sometimes called disc prolapse. , Source: Wikipedia"
fracture of the arm,Also known as Arm Fracture and Upper Extremity Fracture   Fracture of the arm is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.
coagulation (bleeding) disorder," Also known as Coagulopathy Bleeding Disorder Blood Clotting Disorder Bleeding Diathesis Coagulation Defect and Hemostatic Disorder  ,Coagulopathy (also called clotting disorder and bleeding disorder) is a condition in which the blood’s ability to clot is impaired. This condition can cause prolonged or excessive bleeding which may occur spontaneously or following an injury or medical and dental procedures. , Source: Wikipedia"
intracranial hemorrhage,"Also known as Intracranial Bleeding  ,An intracranial hemorrhage (ICH) is a hemorrhage or bleedingwithin the skull. , Source: Wikipedia"
hyperkalemia,"Also known as Excess K Excess Potassium Hyperpotassemia Excessive Potassium In The Bloodand Potassium Overload  ,Hyperkalemia (hyperkalaemia in British English hyper- high; kalium potassium; -emia in the blood) refers to the condition in which the concentration of the electrolyte potassium (K+) in the blood is elevated. Extreme hyperkalemia is a medical emergency due to the risk of potentially fatal abnormal heart rhythms (arrhythmia). , Source: Wikipedia"
cornea infection, Cornea infection is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.
